coordinate,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,GPP_2016,GPP_2017,GPP_2018,GPP_2019,GPP_2020,GPP_2021,GPP_2022,GPP_2023,Land_Cover_2010,Land_Cover_2011,Land_Cover_2012,Land_Cover_2013,Land_Cover_2014,Land_Cover_2015,Land_Cover_2016,Land_Cover_2017,Land_Cover_2018,Land_Cover_2019,Land_Cover_2020,Land_Cover_2021,Land_Cover_2022,Land_Cover_2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-11.471685842444387), np.float64(17.016542745000052))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Nouamlein,Kiffa,541.6973692889783,0.21725591620607748,0.3124097392289772
"(np.float64(-11.469463620222163), np.float64(16.12432052277783))",1813,566,1397,1196,515,940,1825,866,972,687,2232,574,1400,882,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,468.5630584649165,0.102883404095223,0.49173704605393265
"(np.float64(-11.463908064666608), np.float64(16.926542745000052))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Nouamlein,Kiffa,515.9447427254735,0.17698217108791459,0.2328049089408542
"(np.float64(-11.458722879481423), np.float64(15.998888424012401))",1196,552,2389,1340,1056,1047,2043,716,418,745,1267,709,2916,972,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,492.0793954955967,0.13965988440300628,0.6099927000214117
"(np.float64(-11.455019175777721), np.float64(16.12320941166672))",1729,645,1719,981,971,1020,1913,671,921,798,1731,887,2273,1058,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,471.7725417800002,0.10790261689955324,0.4890312369684515
"(np.float64(-11.451932756024632), np.float64(16.11604891783956))",1833,655,1990,1145,824,895,1790,431,839,605,1931,879,2244,1015,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,473.50173151600046,0.11060684384575953,0.4951351188503781
"(np.float64(-11.449833990592534), np.float64(16.220616819074127))",1174,704,1332,1137,790,952,1293,518,772,587,1473,684,1943,1225,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,460.3706978461169,0.09007162186151572,0.393658831746543
"(np.float64(-11.448722879481425), np.float64(16.23074027586425))",1330,913,1560,908,919,1235,1357,653,971,899,1227,533,1826,1161,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,459.5395082438336,0.0887717498618703,0.38359719507904094
"(np.float64(-11.444772262197473), np.float64(17.309752621543264))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hseiy Tin,Boumdeid,657.054458286499,0.39765933984921137,0.5607887915937165
"(np.float64(-11.442796953555499), np.float64(16.115431633888946))",1431,568,2036,1310,806,937,2310,510,1045,569,2580,737,1831,1253,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,475.6165570753902,0.11391415486268465,0.49334125802251017
"(np.float64(-11.442796953555497), np.float64(15.999876078333388))",1498,556,2287,1203,1005,1056,1945,686,601,587,1263,615,1112,1039,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Sani,Kankoussa,495.45493006588765,0.14493877968719057,0.604873683758488
"(np.float64(-11.44032781775303), np.float64(16.92567854746919))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Nouamlein,Kiffa,521.2451393097905,0.1852712992098778,0.243815345387375
"(np.float64(-11.437735225160436), np.float64(17.30209830055561))",65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,65533,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Hseiy Tin,Boumdeid,655.3995803550483,0.39507132686154334,0.5577632955236012
