coordinate,value2010,value2011,value2012,value2013,value2014,value2015,value2016,value2017,value2018,value2019,value2020,value2021,value2022,value2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-11.270080904172781), np.float64(17.662715584506227))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,853.2558447696036,0.7044926879570378,0.7602489285583899
"(np.float64(-11.268846336271547), np.float64(17.29777731290129))",16,16,16,10,10,10,10,10,10,16,16,16,16,16,Nouamlein,Kiffa,695.1729379063229,0.4572716643907492,0.6521638407980058
"(np.float64(-11.265389546148091), np.float64(17.3146908931482))",16,16,16,10,10,10,10,10,16,16,16,16,16,16,Nouamlein,Kiffa,702.8440858276737,0.46926833802659595,0.6687715624491605
"(np.float64(-11.262796953555497), np.float64(15.987653856111166))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,549.053548047415,0.22876001920040154,0.5716840123114499
"(np.float64(-11.262796953555497), np.float64(15.998024226481535))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,546.8933574974055,0.22538176326199424,0.561482346426928
"(np.float64(-11.261685842444386), np.float64(17.66036990549388))",16,16,16,10,16,16,10,16,16,16,16,16,16,16,Lavtah,Boumdeid,854.1309716415691,0.7058612721090535,0.7673382842298534
"(np.float64(-11.260945101703646), np.float64(15.993209411666719))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,548.5076522896127,0.2279063095193093,0.5658881332662155
"(np.float64(-11.257982138740685), np.float64(15.998764967222277))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,548.3526437616083,0.22766389642282006,0.5599000160615923
"(np.float64(-11.257364854790065), np.float64(17.990122991913633))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1014.6807922835699,0.9569402266909478,0.526125013544526
"(np.float64(-11.254895718987598), np.float64(17.99456743635807))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1017.4037267268694,0.9611985405942884,0.5241728586260975
"(np.float64(-11.25390806466661), np.float64(17.999505707963014))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1020.0771376780343,0.9653794062228027,0.5209139800956176
"(np.float64(-11.252303126395002), np.float64(15.676666201790177))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,645.1334142642763,0.3790163836711502,0.8782954781989893
"(np.float64(-11.251685842444388), np.float64(15.992468670925978))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,551.7764345596033,0.23301825814574317,0.5650578374691962
"(np.float64(-11.250574731333275), np.float64(17.62987607833339))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,842.7082072028858,0.6879975601333482,0.7980986991395584
"(np.float64(-11.250204360962906), np.float64(17.99740694253092))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1019.7726092911286,0.9649031635915805,0.524858371779699
"(np.float64(-11.249216706641917), np.float64(15.986913115370426))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,553.780034522234,0.23615162685338803,0.5701549393757039
"(np.float64(-11.247241397999941), np.float64(18.007160028950672))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1025.2581719439984,0.9734818672654214,0.5190504345901161
"(np.float64(-11.246747570839446), np.float64(18.035925461049434))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1039.8124643767487,0.9962428801029415,0.496832612999833
"(np.float64(-11.245513002938212), np.float64(17.992962498086474))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1018.502150731418,0.9629163323030983,0.5312549387310859
"(np.float64(-11.243908064666607), np.float64(18.01987607833339))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1032.3106895317833,0.9845110838415015,0.5111492402536365
"(np.float64(-11.242796953555496), np.float64(18.002468670925982))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1023.810453857526,0.9712178252239712,0.5254873409981499
"(np.float64(-11.242796953555496), np.float64(18.03901188080252))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1042.1560484331399,0.9999079395374554,0.49694466396805076
"(np.float64(-11.242303126395003), np.float64(18.012345214135856))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1028.8574637917045,0.9791106897128304,0.5180500504131397
"(np.float64(-11.241685842444387), np.float64(17.649876078333385))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,854.0588746312692,0.7057485217995098,0.7881306157354017
"(np.float64(-11.24106855849377), np.float64(18.014814349938327))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1030.3457975819547,0.981438249411313,0.5168803779099279
"(np.float64(-11.240945101703646), np.float64(15.988518053642029))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,556.2612012220299,0.24003184757638255,0.5673451166619453
"(np.float64(-11.240945101703645), np.float64(15.687283485740796))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Hamed,Kankoussa,644.562165520877,0.37812302523122554,0.8666151659741275
"(np.float64(-11.23822905232093), np.float64(18.022345214135857))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Lavtah,Boumdeid,1034.69915251108,0.9882463280510644,0.5127512532466597
"(np.float64(-11.23785868195056), np.float64(15.997530399321038))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Blajmil,Kankoussa,555.445419341727,0.23875607124194473,0.5579907025947566
