coordinate,value2010,value2011,value2012,value2013,value2014,value2015,value2016,value2017,value2018,value2019,value2020,value2021,value2022,value2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-10.934463620222168), np.float64(15.268764967222275))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,906.1916148146588,0.7872773198535556,1.234412587993797
"(np.float64(-10.925685842444386), np.float64(15.288542745000054))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,900.528644700909,0.7784211740771035,1.2135396177574758
"(np.float64(-10.924185842444388), np.float64(15.321264967222277))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,887.3475259870202,0.7578076256242361,1.1809608224697523
"(np.float64(-10.9165006572592), np.float64(15.507283485740794))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,817.9258492028118,0.6492411883488692,0.9961230681539713
"(np.float64(-10.91640806466661), np.float64(15.285153856111164))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,904.9023286936795,0.7852610447177879,1.2155557825591996
"(np.float64(-10.911685842444385), np.float64(15.29487607833339))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,902.3293942027741,0.7812373111527116,1.2052719323089482
"(np.float64(-10.910698188123398), np.float64(15.505802004259314))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,820.5423196550576,0.6533330064724729,0.9966072792676107
"(np.float64(-10.903908064666608), np.float64(15.277653856111161))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,912.0634181501433,0.79646005351896,1.2212708852486363
"(np.float64(-10.901685842444387), np.float64(15.508764967222275))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,822.7314856993706,0.6567565763002957,0.992231069224027
"(np.float64(-10.898074731333276), np.float64(15.309876078333389))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,900.5282870038467,0.7784206146856067,1.1885597962119836
"(np.float64(-10.894741397999944), np.float64(15.299042745000056))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,906.0924846146155,0.7871222931652988,1.198868112777602
"(np.float64(-10.890491397999941), np.float64(15.303792745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,905.5292713419892,0.786241501152376,1.193618655946104
"(np.float64(-10.882241397999941), np.float64(15.314042745000055))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,904.0644985184844,0.7839507877292471,1.1824379781164802
"(np.float64(-10.872920410345621), np.float64(15.518641510432152))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,829.7925134483614,0.6677991016572288,0.9783039750629603
"(np.float64(-10.849093249851796), np.float64(15.50530817709882))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Tenaha,Kankoussa,843.347745042554,0.688997713802517,0.9886366651521118
